FECHA,RUTA,TURNO,TIPO RUTA,PUNTO,DESCRIPCION,HORARIO,HORARIO PROGRAMADO,HORARIO ETA PROMEDIO,DIFERENCIA,TAMAÑO MUESTRA,DESVIACION ESTANDAR
01/05/2026,EL PEÑUELO,Entrada,A,1,LA VENTURA,H1,19:00,,,,
01/05/2026,EL PEÑUELO,Entrada,A,1,LA VENTURA,H2,03:30,,,,
01/05/2026,EL PEÑUELO,Entrada,A,1,LA VENTURA,H3,15:30,,,,
01/05/2026,EL PEÑUELO,Entrada,A,1,LA VENTURA,H4,19:30,,,,
01/05/2026,EL PEÑUELO,Entrada,A,2,METALSA,H1,21:20,,,,
01/05/2026,EL PEÑUELO,Entrada,A,2,METALSA,H2,05:50,,,,
01/05/2026,EL PEÑUELO,Entrada,A,2,METALSA,H3,17:50,,,,
01/05/2026,EL PEÑUELO,Entrada,A,2,METALSA,H4,21:50,,,,
01/05/2026,EL PEÑUELO,Salida,N,1,METALSA,H1,15:30,,,,
01/05/2026,EL PEÑUELO,Salida,N,1,METALSA,H2,06:15,,,,
01/05/2026,EL PEÑUELO,Salida,N,1,METALSA,H3,18:15,,,,
01/05/2026,EL PEÑUELO,Salida,N,2,LA VENTURA,H1,17:50,,,,
01/05/2026,EL PEÑUELO,Salida,N,2,LA VENTURA,H2,08:35,,,,
01/05/2026,EL PEÑUELO,Salida,N,2,LA VENTURA,H3,20:35,,,,
01/05/2026,EL SALITRE,Entrada,A,1,SALITRE,H1,19:20,,,,
01/05/2026,EL SALITRE,Entrada,A,1,SALITRE,H2,03:50,,,,
01/05/2026,EL SALITRE,Entrada,A,1,SALITRE,H3,15:50,,,,
01/05/2026,EL SALITRE,Entrada,A,1,SALITRE,H4,19:50,,,,
01/05/2026,EL SALITRE,Entrada,A,2,BENITO JUAREZ,H1,19:25,,,,
01/05/2026,EL SALITRE,Entrada,A,2,BENITO JUAREZ,H2,03:55,,,,
01/05/2026,EL SALITRE,Entrada,A,2,BENITO JUAREZ,H3,15:55,,,,
01/05/2026,EL SALITRE,Entrada,A,2,BENITO JUAREZ,H4,19:55,,,,
01/05/2026,EL SALITRE,Entrada,A,3,EL MEZQUITE,H1,19:40,,,,
01/05/2026,EL SALITRE,Entrada,A,3,EL MEZQUITE,H2,04:10,,,,
01/05/2026,EL SALITRE,Entrada,A,3,EL MEZQUITE,H3,16:10,,,,
01/05/2026,EL SALITRE,Entrada,A,3,EL MEZQUITE,H4,20:10,,,,
01/05/2026,EL SALITRE,Entrada,A,4,PRESA DE LOS MUCHAHCOS,H1,19:55,,,,
01/05/2026,EL SALITRE,Entrada,A,4,PRESA DE LOS MUCHAHCOS,H2,04:25,,,,
01/05/2026,EL SALITRE,Entrada,A,4,PRESA DE LOS MUCHAHCOS,H3,16:25,,,,
01/05/2026,EL SALITRE,Entrada,A,4,PRESA DE LOS MUCHAHCOS,H4,20:25,,,,
01/05/2026,EL SALITRE,Entrada,A,5,AGUA NUEVA,H1,20:43,,,,
01/05/2026,EL SALITRE,Entrada,A,5,AGUA NUEVA,H2,05:13,,,,
01/05/2026,EL SALITRE,Entrada,A,5,AGUA NUEVA,H3,17:13,,,,
01/05/2026,EL SALITRE,Entrada,A,5,AGUA NUEVA,H4,21:13,,,,
01/05/2026,EL SALITRE,Entrada,A,6,METALSA,H1,21:20,,,,
01/05/2026,EL SALITRE,Entrada,A,6,METALSA,H2,05:50,,,,
01/05/2026,EL SALITRE,Entrada,A,6,METALSA,H3,17:50,,,,
01/05/2026,EL SALITRE,Entrada,A,6,METALSA,H4,21:50,,,,
01/05/2026,EL SALITRE,Salida,N,1,METALSA,H1,15:30,,,,
01/05/2026,EL SALITRE,Salida,N,1,METALSA,H2,06:15,,,,
01/05/2026,EL SALITRE,Salida,N,1,METALSA,H3,18:15,,,,
01/05/2026,EL SALITRE,Salida,N,2,AGUA NUEVA,H1,15:31,,,,
01/05/2026,EL SALITRE,Salida,N,2,AGUA NUEVA,H2,06:16,,,,
01/05/2026,EL SALITRE,Salida,N,2,AGUA NUEVA,H3,18:16,,,,
01/05/2026,EL SALITRE,Salida,N,3,PRESA DE LOS MUCHAHCOS,H1,16:55,,,,
01/05/2026,EL SALITRE,Salida,N,3,PRESA DE LOS MUCHAHCOS,H2,07:40,,,,
01/05/2026,EL SALITRE,Salida,N,3,PRESA DE LOS MUCHAHCOS,H3,19:40,,,,
01/05/2026,EL SALITRE,Salida,N,4,EL MEZQUITE,H1,17:10,,,,
01/05/2026,EL SALITRE,Salida,N,4,EL MEZQUITE,H2,07:55,,,,
01/05/2026,EL SALITRE,Salida,N,4,EL MEZQUITE,H3,19:55,,,,
01/05/2026,EL SALITRE,Salida,N,5,BENITO JUAREZ,H1,17:25,,,,
01/05/2026,EL SALITRE,Salida,N,5,BENITO JUAREZ,H2,08:10,,,,
01/05/2026,EL SALITRE,Salida,N,5,BENITO JUAREZ,H3,20:10,,,,
01/05/2026,EL SALITRE,Salida,N,6,SALITRE,H1,17:30,,,,
01/05/2026,EL SALITRE,Salida,N,6,SALITRE,H2,08:15,,,,
01/05/2026,EL SALITRE,Salida,N,6,SALITRE,H3,20:15,,,,
01/05/2026,LA HEDIONDA,Entrada,N,1,LAS ESPERANZAS,H1,20:00,,,,
01/05/2026,LA HEDIONDA,Entrada,N,1,LAS ESPERANZAS,H2,04:30,,,,
01/05/2026,LA HEDIONDA,Entrada,N,1,LAS ESPERANZAS,H3,16:30,,,,
01/05/2026,LA HEDIONDA,Entrada,N,1,LAS ESPERANZAS,H4,20:30,,,,
01/05/2026,LA HEDIONDA,Entrada,N,2,HEDIONDA,H1,20:20,,,,
01/05/2026,LA HEDIONDA,Entrada,N,2,HEDIONDA,H2,04:50,,,,
01/05/2026,LA HEDIONDA,Entrada,N,2,HEDIONDA,H3,16:50,,,,
01/05/2026,LA HEDIONDA,Entrada,N,2,HEDIONDA,H4,20:50,,,,
01/05/2026,LA HEDIONDA,Entrada,N,3,METALSA,H1,21:20,,,,
01/05/2026,LA HEDIONDA,Entrada,N,3,METALSA,H2,05:50,,,,
01/05/2026,LA HEDIONDA,Entrada,N,3,METALSA,H3,17:50,,,,
01/05/2026,LA HEDIONDA,Entrada,N,3,METALSA,H4,21:50,,,,
01/05/2026,LA HEDIONDA,Salida,N,1,METALSA,H1,15:30,,,,
01/05/2026,LA HEDIONDA,Salida,N,1,METALSA,H2,06:15,06:16,-1,1,0
01/05/2026,LA HEDIONDA,Salida,N,1,METALSA,H3,18:15,,,,
01/05/2026,LA HEDIONDA,Salida,N,2,HEDIONDA,H1,16:30,,,,
01/05/2026,LA HEDIONDA,Salida,N,2,HEDIONDA,H2,07:15,,,,
01/05/2026,LA HEDIONDA,Salida,N,2,HEDIONDA,H3,19:15,,,,
01/05/2026,LA HEDIONDA,Salida,N,3,LAS ESPERANZAS,H1,16:50,,,,
01/05/2026,LA HEDIONDA,Salida,N,3,LAS ESPERANZAS,H2,07:35,07:23,12,1,0
01/05/2026,LA HEDIONDA,Salida,N,3,LAS ESPERANZAS,H3,19:35,,,,
01/05/2026,LA SAUCEDA,Entrada,N,1,LA SAUCEDA,H1,04:00,,,,
01/05/2026,LA SAUCEDA,Entrada,N,1,LA SAUCEDA,H2,16:00,,,,
01/05/2026,LA SAUCEDA,Entrada,N,1,LA SAUCEDA,H3,19:30,,,,
01/05/2026,LA SAUCEDA,Entrada,N,1,LA SAUCEDA,H4,20:00,,,,
01/05/2026,LA SAUCEDA,Entrada,N,2,HIPOLITO,H1,04:15,,,,
01/05/2026,LA SAUCEDA,Entrada,N,2,HIPOLITO,H2,16:15,,,,
01/05/2026,LA SAUCEDA,Entrada,N,2,HIPOLITO,H3,19:45,,,,
01/05/2026,LA SAUCEDA,Entrada,N,2,HIPOLITO,H4,20:15,,,,
01/05/2026,LA SAUCEDA,Entrada,N,3,SAN ANTONIO DEL JARAL,H1,04:32,,,,
01/05/2026,LA SAUCEDA,Entrada,N,3,SAN ANTONIO DEL JARAL,H2,16:32,,,,
01/05/2026,LA SAUCEDA,Entrada,N,3,SAN ANTONIO DEL JARAL,H3,20:02,,,,
