sequential_id|rdes|shift|route_type|id|des|sch|time|mean|diff|n|std
0143|EL PEÑUELO|Entrada|A|1|LA VENTURA|H1|19:00|||0|
0143|EL PEÑUELO|Entrada|A|1|LA VENTURA|H2|03:30|||0|
0143|EL PEÑUELO|Entrada|A|1|LA VENTURA|H3|15:30|||0|
0143|EL PEÑUELO|Entrada|A|1|LA VENTURA|H4|19:30|||0|
0143|EL PEÑUELO|Entrada|A|2|METALSA|H1|21:20|||0|
0143|EL PEÑUELO|Entrada|A|2|METALSA|H2|05:50|||0|
0143|EL PEÑUELO|Entrada|A|2|METALSA|H3|17:50|||0|
0143|EL PEÑUELO|Entrada|A|2|METALSA|H4|21:50|||0|
0029|EL PEÑUELO|Salida|N|1|METALSA|H1|15:30|||0|
0029|EL PEÑUELO|Salida|N|1|METALSA|H2|06:15|||0|
0029|EL PEÑUELO|Salida|N|1|METALSA|H3|18:15|||0|
0029|EL PEÑUELO|Salida|N|2|LA VENTURA|H1|17:50|||0|
0029|EL PEÑUELO|Salida|N|2|LA VENTURA|H2|08:35|||0|
0029|EL PEÑUELO|Salida|N|2|LA VENTURA|H3|20:35|||0|
0144|EL SALITRE|Entrada|A|1|SALITRE|H1|19:20|||0|
0144|EL SALITRE|Entrada|A|1|SALITRE|H2|03:50|||0|
0144|EL SALITRE|Entrada|A|1|SALITRE|H3|15:50|||0|
0144|EL SALITRE|Entrada|A|1|SALITRE|H4|19:50|||0|
0144|EL SALITRE|Entrada|A|2|BENITO JUAREZ|H1|19:25|||0|
0144|EL SALITRE|Entrada|A|2|BENITO JUAREZ|H2|03:55|||0|
0144|EL SALITRE|Entrada|A|2|BENITO JUAREZ|H3|15:55|||0|
0144|EL SALITRE|Entrada|A|2|BENITO JUAREZ|H4|19:55|||0|
0144|EL SALITRE|Entrada|A|3|EL MEZQUITE|H1|19:40|||0|
0144|EL SALITRE|Entrada|A|3|EL MEZQUITE|H2|04:10|||0|
0144|EL SALITRE|Entrada|A|3|EL MEZQUITE|H3|16:10|||0|
0144|EL SALITRE|Entrada|A|3|EL MEZQUITE|H4|20:10|||0|
0144|EL SALITRE|Entrada|A|4|PRESA DE LOS MUCHAHCOS|H1|19:55|||0|
0144|EL SALITRE|Entrada|A|4|PRESA DE LOS MUCHAHCOS|H2|04:25|||0|
0144|EL SALITRE|Entrada|A|4|PRESA DE LOS MUCHAHCOS|H3|16:25|||0|
0144|EL SALITRE|Entrada|A|4|PRESA DE LOS MUCHAHCOS|H4|20:25|||0|
0144|EL SALITRE|Entrada|A|5|AGUA NUEVA|H1|20:43|||0|
0144|EL SALITRE|Entrada|A|5|AGUA NUEVA|H2|05:13|||0|
0144|EL SALITRE|Entrada|A|5|AGUA NUEVA|H3|17:13|||0|
0144|EL SALITRE|Entrada|A|5|AGUA NUEVA|H4|21:13|||0|
0144|EL SALITRE|Entrada|A|6|METALSA|H1|21:20|||0|
0144|EL SALITRE|Entrada|A|6|METALSA|H2|05:50|||0|
0144|EL SALITRE|Entrada|A|6|METALSA|H3|17:50|||0|
0144|EL SALITRE|Entrada|A|6|METALSA|H4|21:50|||0|
0030|EL SALITRE|Salida|N|1|METALSA|H1|15:30|||0|
0030|EL SALITRE|Salida|N|1|METALSA|H2|06:15|||0|
0030|EL SALITRE|Salida|N|1|METALSA|H3|18:15|||0|
0030|EL SALITRE|Salida|N|2|AGUA NUEVA|H1|15:31|||0|
0030|EL SALITRE|Salida|N|2|AGUA NUEVA|H2|06:16|||0|
0030|EL SALITRE|Salida|N|2|AGUA NUEVA|H3|18:16|||0|
0030|EL SALITRE|Salida|N|3|PRESA DE LOS MUCHAHCOS|H1|16:55|||0|
0030|EL SALITRE|Salida|N|3|PRESA DE LOS MUCHAHCOS|H2|07:40|||0|
0030|EL SALITRE|Salida|N|3|PRESA DE LOS MUCHAHCOS|H3|19:40|19:31|9|1|0
0030|EL SALITRE|Salida|N|4|EL MEZQUITE|H1|17:10|||0|
0030|EL SALITRE|Salida|N|4|EL MEZQUITE|H2|07:55|||0|
0030|EL SALITRE|Salida|N|4|EL MEZQUITE|H3|19:55|18:59|56|1|0
0030|EL SALITRE|Salida|N|5|BENITO JUAREZ|H1|17:25|||0|
0030|EL SALITRE|Salida|N|5|BENITO JUAREZ|H2|08:10|||0|
0030|EL SALITRE|Salida|N|5|BENITO JUAREZ|H3|20:10|||0|
0030|EL SALITRE|Salida|N|6|SALITRE|H1|17:30|||0|
